,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
1419,6,boeing 787 brilliant,robin,united kingdom,2017-04-01,verified review birmingham cape town via doha traveling wife 2 young kid impressed boeing 787 birmingham concerned 173 seat need comfortable flight around able use cpap machine sleep apnoea flight issue chose qatar option first place 787s way criticism would ife touch screen sluggish childrens meal drab plus play pack kid arrival doha long walk carrying kid found boeing 787 cape town changed last minute boeing 777300 air frantic rush herded plane departed seat unfortunately power medical equipment unlike previous flight staff know medical request horrendous flight sleep kid meal drab left though ife worked better overall boeing 787 brilliant justified route choice boeing 777 cancelled,Family Leisure,nan,777-300,Unknown,BHX,CPT,1,3,2017
1420,5,trend 343 economy,john fairclough,france,2017-03-31,verified review barcelona bangkok return via doha economic reality dictate day qr flying economy biz bcn sector a330 though little dated perfectly acceptable plane 6 hr flight still nice 242 layout enables couple travelling able sit doha bkk a380 wonderful plane little economy sector upper deck good get economy opinion great seat plenty space saw lower deck almost good disappointed found bangkok doha section changed b777 300 comedown qr felt fit follow trend 343 economy instead 333 cabin seriously cramped impossible pas aisle large person trolley elbow room eat etc seat people need get message cannot go squeezing yet seat already overcrowded jet make fast buck cannot speak carrier difference qr a380 offering 773 offering embarrassing,Couple Leisure,economy class,,Unknown,BCN,BKK,1,3,2017
1421,10,comfortable perfect,hossein ettehadi,iran,2017-03-28,unknown,Couple Leisure,business class,A380,Unknown,SHJ,SYD,1,0,
1422,8,really deliver classy service,unknown,sri lanka,2017-03-27,unknown,Solo Leisure,business class,BOEING 777,Unknown,CMB,DOH,0,3,2017
1423,8,appreciate consistent high level,ugo colombo,south africa,2017-03-27,verified review cape town doha seat 2k one cannot appreciate consistent high level come service cleanliness safety food punctuality friendliness assistance required given flight ground time doha short doha milan seat 2k good exception seating bad level comfort seat hard reclines 165 degree thus allow proper night rest,Solo Leisure,nan,BOEING 777-ER,Unknown,CPT,MXP,1,3,2017
1423,8,appreciate consistent high level,ugo colombo,south africa,2017-03-27,verified review cape town doha seat 2k one cannot appreciate consistent high level come service cleanliness safety food punctuality friendliness assistance required given flight ground time doha short doha milan seat 2k good exception seating bad level comfort seat hard reclines 165 degree thus allow proper night rest,Solo Leisure,nan,A330-300,Unknown,CPT,MXP,1,3,2017
1424,0,impressed service,j egleton,united kingdom,2017-03-27,verified review london denpasar bali via doha returning jakarta london via doha outbound a330 inbound boeing 787 horrendous journey london get heathrow escorted front checkin queue allowed use business class checkin make 1 hour cutoff flight overnight flight london doha time unremarkable bizarre reason main cabin light switched flight fortunately qatar economy amenity kit good feature eyemask needed occasion legroom seat 20k poor due ife box seat front food good cabin crew polite hot towel served boarding morning nice touch really good qatar service came transfer doha freshening made way boarding gate dohabali leg find incredibly long queue clearly full flight boarding gate agent switched boarding pas passing gate realise upgraded business class onboard business class service impeccable seat clean multiple recline position plenty room store belonging wanted access inflight good preflight drink service including champagne amenity kit excellent featuring armani product cabin crew polite attentive ive ever encountered throughout flight ondemand meal service superb wine list including sauterne dessert wine bathroom cleaned member cabin staff every use passenger absolutely faultless service whats feel staff treated differently fortune upgraded free instead paid full price experience return flight economy good better outbound lhrdoh leg lot boeing 787 plane far better lighting spacious seat made sleeping far easier window seat appreciate tinted window function dreamliner cabin crew excellent food good economy class ife option good ground staff gate agent transfer doha politest ive ever encountered overall impressed service qatar offer would certainly consider using flying asian destination price competitive eg singapore airline,Solo Leisure,economy class,A330,Unknown,NAN,NAN,0,8,2016
1424,0,impressed service,j egleton,united kingdom,2017-03-27,verified review london denpasar bali via doha returning jakarta london via doha outbound a330 inbound boeing 787 horrendous journey london get heathrow escorted front checkin queue allowed use business class checkin make 1 hour cutoff flight overnight flight london doha time unremarkable bizarre reason main cabin light switched flight fortunately qatar economy amenity kit good feature eyemask needed occasion legroom seat 20k poor due ife box seat front food good cabin crew polite hot towel served boarding morning nice touch really good qatar service came transfer doha freshening made way boarding gate dohabali leg find incredibly long queue clearly full flight boarding gate agent switched boarding pas passing gate realise upgraded business class onboard business class service impeccable seat clean multiple recline position plenty room store belonging wanted access inflight good preflight drink service including champagne amenity kit excellent featuring armani product cabin crew polite attentive ive ever encountered throughout flight ondemand meal service superb wine list including sauterne dessert wine bathroom cleaned member cabin staff every use passenger absolutely faultless service whats feel staff treated differently fortune upgraded free instead paid full price experience return flight economy good better outbound lhrdoh leg lot boeing 787 plane far better lighting spacious seat made sleeping far easier window seat appreciate tinted window function dreamliner cabin crew excellent food good economy class ife option good ground staff gate agent transfer doha politest ive ever encountered overall impressed service qatar offer would certainly consider using flying asian destination price competitive eg singapore airline,Solo Leisure,economy class,BOEING 787,Unknown,NAN,NAN,0,8,2016
1425,0,food among worst,unknown,united states,2017-03-26,verified review new york bangkok via doha food among worst ive major carrier took long time remove tray 30 min serving snack paltry seat average best entertainment system ive seen long haul flight pillow went bottom instead head seat uncomfortable flight doha bangkok particularly bad food middle eastern food offered found strange chicken potato vegetable reminded discount meal lounge good food nice shower smoking room coupled poor ventilation 3 4 flight could get 15 minute free internet cost 20 usd 200 mb quite expensive internet onboard day bad high hope,,economy class,,Unknown,NYC,BKK,1,2,2017
1426,10,unknown,thomson,greece,2017-03-22,verified review check athens airport fast easy a330 flew towards doha nice aircraft decent spacious seat good inflight entertainment also half full allowed empty seat next always great cabin crew professional polite efficient inflight food also good quality two option available arrived time doha good doha dubai flew new a350 unfortunatelly latam a350 qatar leased good qatar one still 1hr flight fine good journey,Business,economy class,A320,Unknown,NAN,NAN,0,0,
1426,10,unknown,thomson,greece,2017-03-22,verified review check athens airport fast easy a330 flew towards doha nice aircraft decent spacious seat good inflight entertainment also half full allowed empty seat next always great cabin crew professional polite efficient inflight food also good quality two option available arrived time doha good doha dubai flew new a350 unfortunatelly latam a350 qatar leased good qatar one still 1hr flight fine good journey,Business,economy class,200 & A350,Unknown,NAN,NAN,0,0,
1427,10,staff extremely helpful,unknown,greece,2017-03-22,unknown,Business,economy class,A330-300,Unknown,DXB,ATH,1,0,
1427,10,staff extremely helpful,unknown,greece,2017-03-22,unknown,Business,economy class,A320-200,Unknown,DXB,ATH,1,0,
1428,2,leased a350 latam,k drelling,netherlands,2017-03-22,verified review doha munich solo traveller hate 222 configuration boeing 777 fly amsterdam avoid use belgium germany even skandinavian starting point trip since qatar airway us 787 new a350 doha unpleasantly surprised find qatar airway us leased a350 latam dohamunich route config business class plane 222 cramped 777 toilet messy service par sitting near window mean climbing fellow passenger second plane change worse 5 month,Solo Leisure,business class,,Unknown,DOH,MUC,0,3,2017
1429,0,pleasant overnighter,mark mccullough,united kingdom,2017-03-19,verified review kuala lumpur london via doha pleasant overnighter departing kuala lumpur 0200 got six hour sleep boeing 787 love aircraft cabin air quality seat great 121 business cabin cosier qatar a350 380 left right time doha london sector 777 older 222 layout product partner usually quite happy look feel dated compared latest qatar airway business product seat seemed dangle end didnt go completely flat still aircraft type shortly retrofitted qatar latest q suite catering good alternative main breakfast offering also several delicious alternative cabin crew excellent issue frustrating 30 minute holding landing heathrow still made gate time,Couple Leisure,business class,BOEING 787-8,Unknown,KUL,LON,1,3,2017
1429,0,pleasant overnighter,mark mccullough,united kingdom,2017-03-19,verified review kuala lumpur london via doha pleasant overnighter departing kuala lumpur 0200 got six hour sleep boeing 787 love aircraft cabin air quality seat great 121 business cabin cosier qatar a350 380 left right time doha london sector 777 older 222 layout product partner usually quite happy look feel dated compared latest qatar airway business product seat seemed dangle end didnt go completely flat still aircraft type shortly retrofitted qatar latest q suite catering good alternative main breakfast offering also several delicious alternative cabin crew excellent issue frustrating 30 minute holding landing heathrow still made gate time,Couple Leisure,business class,777-300ER,Unknown,KUL,LON,1,3,2017
1430,7,last flight disappointing,pierre barreche,united states,2017-03-18,verified review last flight doha new york jfk disappointing upon boarding couple business class insisted child booked economy upgraded made scene could arranged process several passenger asked change seat accepting fa stood old business class seat boeing 777s well found elsewhere food amenity kit downgraded winesremain good happen like dark chocolate luck box four replaced single milk piece robotlike unsmiling service exception perfectly charming flight service director acknowledged fact wrote report performed grace call button pressed several time acknowledged ife handset unreliable touch screen main video far easily accessed doha found food availability service business class lounge badly reduced none tragic much realize let eat cake aspect criticism,,business class,BOEING 777,Unknown,NAN,NAN,0,3,2017
1431,8,good flight average food,michael schade,germany,2017-03-14,verified review brussels singapore via doha efficient check bru airport priority security clearance qatar passenger qatar us ba lounge rather basic boarding fast organized seat flight identical great herringbone seat comfy lot storage space service impeccable food ex brussels average slightly better ex doha doha lounge massive good drink average food place lack soul chance compare b787 a350 350 win flying color much quieter boeing 787 air significantly less dry window shield sophisticated even toilet flush worked better feel spacious elegant 787 overall good flight average food,Solo Leisure,business class,B787,Unknown,NAN,NAN,0,3,2017
1431,8,good flight average food,michael schade,germany,2017-03-14,verified review brussels singapore via doha efficient check bru airport priority security clearance qatar passenger qatar us ba lounge rather basic boarding fast organized seat flight identical great herringbone seat comfy lot storage space service impeccable food ex brussels average slightly better ex doha doha lounge massive good drink average food place lack soul chance compare b787 a350 350 win flying color much quieter boeing 787 air significantly less dry window shield sophisticated even toilet flush worked better feel spacious elegant 787 overall good flight average food,Solo Leisure,business class,A350,Unknown,NAN,NAN,0,3,2017
1432,9,good food excellent wine,anders pedersen,vietnam,2017-03-11,verified review kuala lumpur copenhagen via doha march 2017 ticket return travel extremely cheap economy ticket purchased less 500 usd several month prior travel despite ticket oclass thus upgradable sent offer 2 week pay 400 usd extra last sector cph could resist also gave access al mourjan lounge doha spent 15 hour dont mind first sector kuala lumpur tried 3 lounge offered plaza premium golden business first class good flight 3040 full elite flyer gave 4 seat a340600 stretch economy pampered throughout special meal accommodated meal offered drink round frequent staff super alert ife fine arrival doha bus transport available terminal second flight boeing 7878 flight time contactgate doha make thing much easier allowed leaving lounge late walk took 5 minute lounge aircraft good service onboard despite business class full good food excellent wine poor beer annoys request charity support passenger educate child charity want people put money envelope onboard find extremely intrusive disrespectful passenger,Solo Leisure,business class,A340-600,Unknown,KUL,CPH,1,3,2017
1432,9,good food excellent wine,anders pedersen,vietnam,2017-03-11,verified review kuala lumpur copenhagen via doha march 2017 ticket return travel extremely cheap economy ticket purchased less 500 usd several month prior travel despite ticket oclass thus upgradable sent offer 2 week pay 400 usd extra last sector cph could resist also gave access al mourjan lounge doha spent 15 hour dont mind first sector kuala lumpur tried 3 lounge offered plaza premium golden business first class good flight 3040 full elite flyer gave 4 seat a340600 stretch economy pampered throughout special meal accommodated meal offered drink round frequent staff super alert ife fine arrival doha bus transport available terminal second flight boeing 7878 flight time contactgate doha make thing much easier allowed leaving lounge late walk took 5 minute lounge aircraft good service onboard despite business class full good food excellent wine poor beer annoys request charity support passenger educate child charity want people put money envelope onboard find extremely intrusive disrespectful passenger,Solo Leisure,business class,BOEING 787-8,Unknown,KUL,CPH,1,3,2017
1433,0,superb food wine list,v strethan,unknown,2017-03-10,unknown,,business class,BOEING 787-8,Unknown,NAN,NAN,0,2,2017
1434,7,choose front row,unknown,switzerland,2017-03-10,verified review doha colombo return a340 seat layout 222 style similar lufthansa seat comfortable minus rather narrow space foot choose front row foot space bigger ife screen big touch screen responsive excellent amenity kit flight colombo basic international flight 4h 30min flight flight doha left 50 minute late due medical emergency board take return flight uneventful time departure early arrival,Solo Leisure,business class,A340-600,Unknown,DOH,CMB,0,0,
1435,7,altogether good flight,gyan fernando,unknown,2017-03-10,verified review colombo london via doha sector doha london flawless a380800 flight took arrived time inflight service good seating 3x4x3 plenty toilet flight attendant attentive without overwhelming altogether good flight colombo doha sector a340 2x4x2 seat configuration problem although checked online join queue drop bag could see point checkingin online checkinbag drop girl spoke phrase sentence boarding rather chaotic presume mostly airport staff colombo flight departed 1 hour 10 minute late boarding thunderstorm cmbdoh sector good dohlhr sector good,Solo Leisure,economy class,A340,Unknown,CMB,LON,1,0,
1435,7,altogether good flight,gyan fernando,unknown,2017-03-10,verified review colombo london via doha sector doha london flawless a380800 flight took arrived time inflight service good seating 3x4x3 plenty toilet flight attendant attentive without overwhelming altogether good flight colombo doha sector a340 2x4x2 seat configuration problem although checked online join queue drop bag could see point checkingin online checkinbag drop girl spoke phrase sentence boarding rather chaotic presume mostly airport staff colombo flight departed 1 hour 10 minute late boarding thunderstorm cmbdoh sector good dohlhr sector good,Solo Leisure,economy class,A380,Unknown,CMB,LON,1,0,
1436,0,nice flight attendant,n zalano,unknown,2017-03-10,unknown,Couple Leisure,economy class,BOEING 787-900,Unknown,HKG,MAD,1,3,2017
1437,8,flight hong kong regular,n zalano,portugal,2017-03-10,unknown,Couple Leisure,nan,BOEING 787-900,Unknown,MAD,HKG,1,0,
1438,0,amazing experience,patapong,thailand,2017-03-10,verified review bangkok frankfurt via doha flight spoken twitter respond within hour dont apologise check chaotic took hour understand since big a380 staff nice answered question apparently flight overbooked tweeting qatar airway apologetic boarding orderly flight attendant greeted door got row met canadian flight attendant started conversation everyone throughout flight wasnt busy polite actually flight attendant polite smiling flight left slightly late seat comfortable however last row limited recline seat a380 a350 wide comfortable legroom sufficient 13 hour flight one thing would suggest add would footrest tv screen big touch screen responsive rendering remote useless food onboard excellent leg bangkok flight attendant saved meal choice u try choose beef time braised beef potato spiced chicken bit sluggish still smile whenever theyre interacting passenger found red wine low quality didnt like audio selection least 5 celine dion 4 michael jackson album kept entertained movie selection good deplaning flight attedant gave tour upper deck including bar business first class transit doha security check much organised taipei narita airport rude staff member gate check refused let board friend gold card member return flight met nice lady check conversation appreciated trying speak french flight one romanian attendant asked help translate friendly conversation flight bangkok malaysian flight attendant also nice talkative im also talkative much conversation wasnt able service passenger overall amazing experience unlike airline look forward flying qatar airway business class future save,Family Leisure,economy class,A380,Unknown,BKK,FRA,1,0,
1438,0,amazing experience,patapong,thailand,2017-03-10,verified review bangkok frankfurt via doha flight spoken twitter respond within hour dont apologise check chaotic took hour understand since big a380 staff nice answered question apparently flight overbooked tweeting qatar airway apologetic boarding orderly flight attendant greeted door got row met canadian flight attendant started conversation everyone throughout flight wasnt busy polite actually flight attendant polite smiling flight left slightly late seat comfortable however last row limited recline seat a380 a350 wide comfortable legroom sufficient 13 hour flight one thing would suggest add would footrest tv screen big touch screen responsive rendering remote useless food onboard excellent leg bangkok flight attendant saved meal choice u try choose beef time braised beef potato spiced chicken bit sluggish still smile whenever theyre interacting passenger found red wine low quality didnt like audio selection least 5 celine dion 4 michael jackson album kept entertained movie selection good deplaning flight attedant gave tour upper deck including bar business first class transit doha security check much organised taipei narita airport rude staff member gate check refused let board friend gold card member return flight met nice lady check conversation appreciated trying speak french flight one romanian attendant asked help translate friendly conversation flight bangkok malaysian flight attendant also nice talkative im also talkative much conversation wasnt able service passenger overall amazing experience unlike airline look forward flying qatar airway business class future save,Family Leisure,economy class,A350,Unknown,BKK,FRA,1,0,
1438,0,amazing experience,patapong,thailand,2017-03-10,verified review bangkok frankfurt via doha flight spoken twitter respond within hour dont apologise check chaotic took hour understand since big a380 staff nice answered question apparently flight overbooked tweeting qatar airway apologetic boarding orderly flight attendant greeted door got row met canadian flight attendant started conversation everyone throughout flight wasnt busy polite actually flight attendant polite smiling flight left slightly late seat comfortable however last row limited recline seat a380 a350 wide comfortable legroom sufficient 13 hour flight one thing would suggest add would footrest tv screen big touch screen responsive rendering remote useless food onboard excellent leg bangkok flight attendant saved meal choice u try choose beef time braised beef potato spiced chicken bit sluggish still smile whenever theyre interacting passenger found red wine low quality didnt like audio selection least 5 celine dion 4 michael jackson album kept entertained movie selection good deplaning flight attedant gave tour upper deck including bar business first class transit doha security check much organised taipei narita airport rude staff member gate check refused let board friend gold card member return flight met nice lady check conversation appreciated trying speak french flight one romanian attendant asked help translate friendly conversation flight bangkok malaysian flight attendant also nice talkative im also talkative much conversation wasnt able service passenger overall amazing experience unlike airline look forward flying qatar airway business class future save,Family Leisure,economy class,BOEING 777-300ER,Unknown,BKK,FRA,1,0,
1439,0,attentive polite,zuned othman,saudi arabia,2017-03-09,verified review doha riyadh excellent service comfort food quality aircraft shame hour flight one first board given hot towel welcome drink air hostess attentive polite since early morning flight given breakfast high quality recommend qatar airway,Family Leisure,first class,BOEING 777,Unknown,DOH,RUH,0,1,2017
1440,10,tasted great airline food,madani,saudi arabia,2017-03-09,verified review london heathrow doha business class a350 best compared competitor service check lounge gate excellent staff apologetic short delay london due missing pre takeoff drink offered takeoff air hostess apologised inconvenience aircraft 2 class configuration economy business take customer service next level food great actually tasted great airline food especially dessert full flatbed seat 1x2x1 layout comfortable,,nan,A350,Unknown,LON,DOH,0,1,2017
1441,10,staff attitude excellent,mahadi,saudi arabia,2017-03-09,unknown,Family Leisure,economy class,A380,Unknown,DOH,LON,0,0,
1442,9,lived expectation,mathadi,saudi arabia,2017-03-09,unknown,Family Leisure,nan,BOEING 777,Unknown,NAN,NAN,0,0,
1443,10,food perfect,unknown,qatar,2017-03-09,unknown,,business class,A320,Unknown,TUN,DOH,0,2,2017
1444,0,unknown,b groese,germany,2017-03-09,verified review frankfurt windhoek return via doha economy frankfurt doha new a350 seat acceptable large screen movie program disappointment found food horrible crew nice arrival doha time connecting flight almost 3 hr late due late incomming aircraft boeing 787 narrow seat entertainment box seat plug headphone hidden armrest bad food nice crew return flight similar aircraft type topic found constant noise onoff signal seat belt night flight quite annoying repetition one paid attention since turbulence mention,Solo Leisure,economy class,,Unknown,NAN,NAN,0,3,2017
1445,10,cabin crew nice,mostafa,egypt,2017-03-06,verified review doha alexandria amazing flight cabin crew nice food good seat comfortable airport facility doha awesome best airline good ticket price excellent service entertainment,Solo Leisure,economy class,A320,Unknown,DOH,HBE,0,2,2017
1446,10,excellent trip service top notch,unknown,vietnam,2017-03-05,verified review travelled qatar airway copenhagen doha kuala lumpur 4th 5th march 2017 flight time excellent trip service top notch hardly get better economy staff caring respectful trying pamper great length checkin cooperative discussed opportunity upgrade eventually could ticket extremely much discounted purchased global sale lounge used cph aspire rubbish qr negotiating new lounge adventure change could big boost acknowledged platinum card holder board got extremely good attendance throughout prepared special starter ricesalad cheese wine drink ad libitum 1 white 1 red wine available champagne 2 wine taste extremely good white wine south african produced pinot gris grape extremely rich taste given 2 hot meal leg different tasty good fact portion small outweighed generous addition requested flight full could sleep stretched 3 seat leg flight 500 usd return ticket,,economy class,BOEING 787-800,Unknown,NAN,NAN,0,0,
1447,9,unknown,unknown,unknown,2017-03-03,verified review bangkok copenhagen via doha 1st2nd march 2017 flight time checkin pleasure fa top thing one get pampered good focus passenger despite business class full flight food drink kept good standard though slipped little bit wine onboard excellent however beer lousy extremely boring alike seems sad trademark qr dine demand seems caused smaller portion without proper stable food accompanying bread fa last sector cph much less professional uncertain please passenger compared fa bkkdoh sector al mourjan lounge doha good cheap ticket purchased global sale may 2016 almost year earlier mile generous due unexpected additional promotion randomly ran ticket purchased instantly credited account priv club card instantly upgraded platinum even landing copenhagen would call pleasant soft landing ife good amenity kit replaced new brand lovely got pyjama night sector bar a380 lively likely due fully loaded cabin headphone good qatar airway delivers,Business,business class,A380,Unknown,BKK,CPH,1,0,
1447,9,unknown,unknown,unknown,2017-03-03,verified review bangkok copenhagen via doha 1st2nd march 2017 flight time checkin pleasure fa top thing one get pampered good focus passenger despite business class full flight food drink kept good standard though slipped little bit wine onboard excellent however beer lousy extremely boring alike seems sad trademark qr dine demand seems caused smaller portion without proper stable food accompanying bread fa last sector cph much less professional uncertain please passenger compared fa bkkdoh sector al mourjan lounge doha good cheap ticket purchased global sale may 2016 almost year earlier mile generous due unexpected additional promotion randomly ran ticket purchased instantly credited account priv club card instantly upgraded platinum even landing copenhagen would call pleasant soft landing ife good amenity kit replaced new brand lovely got pyjama night sector bar a380 lively likely due fully loaded cabin headphone good qatar airway delivers,Business,business class,BOEING 787-8,Unknown,BKK,CPH,1,0,
1448,0,staff second none,william davy,united kingdom,2017-02-28,verified review denpasar london heathrow via doha seat aircraft comfortable staff second none flew a380 boeing 777300er leg room better airline economy staff could done enough flight doh dp sat middle 4 men broad shoulder upgraded business flying airline long haul think one best carrier term leg room route complaint would meal rather small might hungry flight paid 350 flight london bali return exceptional value,Solo Leisure,economy class,,Unknown,NAN,NAN,0,0,
1449,0,ife good throughout,unknown,unknown,2017-02-28,unknown,Business,economy class,BOEING 777-300ER,Unknown,LON,LHE,1,2,2017
1449,0,ife good throughout,unknown,unknown,2017-02-28,unknown,Business,economy class,A330,Unknown,LON,LHE,1,2,2017
1449,0,ife good throughout,unknown,unknown,2017-02-28,unknown,Business,economy class,320,Unknown,LON,LHE,1,2,2017
1449,0,ife good throughout,unknown,unknown,2017-02-28,unknown,Business,economy class,350,Unknown,LON,LHE,1,2,2017
1450,10,wonderful flight,racson,united arab emirates,2017-02-28,unknown,Solo Leisure,economy class,BOEING 777-300ER,Unknown,MNL,DXB,1,2,2017
1451,5,poor breakfast service,mark mccullough,united kingdom,2017-02-27,verified review london singapore via doha disappointing journey a380 great quiet nice onboard lounge qatar airway catering usually good qr10 departing london 0900 offered poor breakfast service dohsin sector skipped dinner try sleep 7 hour overnight flight couldnt wear far large sleeper suit cabin temperature high sweated got dehydrated cabin air dry older aircraft left flight feeling rough like boeing 787 a350 partner got nosebleed dry cabin air heading malaysia chose singapore kl purely a350 proved mistake a350 quiet a380 seat transit doha badly managed staff guide transfer passenger correct route,Couple Leisure,nan,A380,Unknown,NAN,NAN,0,2,2017
1451,5,poor breakfast service,mark mccullough,united kingdom,2017-02-27,verified review london singapore via doha disappointing journey a380 great quiet nice onboard lounge qatar airway catering usually good qr10 departing london 0900 offered poor breakfast service dohsin sector skipped dinner try sleep 7 hour overnight flight couldnt wear far large sleeper suit cabin temperature high sweated got dehydrated cabin air dry older aircraft left flight feeling rough like boeing 787 a350 partner got nosebleed dry cabin air heading malaysia chose singapore kl purely a350 proved mistake a350 quiet a380 seat transit doha badly managed staff guide transfer passenger correct route,Couple Leisure,nan,A350,Unknown,NAN,NAN,0,2,2017
1452,5,usb connection,zdenek sychra,unknown,2017-02-20,verified review krabi munich via doha meal average sometimes offered menu list option longhaul flight didnt seem distinguish vegan vegetarian lowcarb nomilk meal one lowcalories meal meatless option others get cake get fruit others get yoghurt get lowfat yoghurt also inflight entertainment box window seat make flight uncomfortable flying old a330 usb connection could charge mobile phone a330 ife touchscreen control headphone poor quality,Couple Leisure,economy class,,Unknown,NAN,NAN,0,2,2017
1453,0,unknown,unknown,belgium,2017-02-19,verified review flight amsterdam bangkok via doha business class fly freqently qatar airway silver member started first flight boeing 777 plane like everything okay food excellent wine staff kind also stop doha pleasant experience visit couple time stil amazing lounge next flight doha bangkok a380 thats different business class big fly 3 time a380 everytime try different seat crouwded chaotic staff dont get wrongthe food good staff friendly many guest cant give good service rest good value money fly qatar airway anyway,,business class,BOEING 777,Unknown,AMS,BKK,1,1,2017
1453,0,unknown,unknown,belgium,2017-02-19,verified review flight amsterdam bangkok via doha business class fly freqently qatar airway silver member started first flight boeing 777 plane like everything okay food excellent wine staff kind also stop doha pleasant experience visit couple time stil amazing lounge next flight doha bangkok a380 thats different business class big fly 3 time a380 everytime try different seat crouwded chaotic staff dont get wrongthe food good staff friendly many guest cant give good service rest good value money fly qatar airway anyway,,business class,A380,Unknown,AMS,BKK,1,1,2017
1454,10,catering doha exceptional,unknown,unknown,2017-02-16,verified review flew doha johannesburg qatar one best business class product 6 seat across b777 seem tight even window seat step neighbor much space row always catering doha exceptional wine list leaf nothing desired crew excellent really like eat want whatever want menu anytime pyjama last touch made night flight great cannot wait try a350 guy next told ultimate plane business class qatar airway fleet also flexible qatar business class fare bargain compared airline,Couple Leisure,business class,BOEING 777-300,Unknown,DOH,JNB,0,2,2017
1455,9,request much trouble,michael laing,united kingdom,2017-02-16,unknown,Couple Leisure,business class,BOEING 777-LR,Unknown,DOH,AKL,0,0,
1456,10,unknown,j malherbe,australia,2017-02-15,verified review adelaide oslo via doha pleasure fly qatar airway service business class far superior airline flown call bell attended promptly food well prepared delicious decent selection wine spirit seat comfortable provide pajama long haul sector good amenity kit lounge doha excellent well worth 5 star rating,Couple Leisure,business class,A350,Unknown,ADL,OSL,1,0,
1456,10,unknown,j malherbe,australia,2017-02-15,verified review adelaide oslo via doha pleasure fly qatar airway service business class far superior airline flown call bell attended promptly food well prepared delicious decent selection wine spirit seat comfortable provide pajama long haul sector good amenity kit lounge doha excellent well worth 5 star rating,Couple Leisure,business class,BOEING 787,Unknown,ADL,OSL,1,0,
1457,9,friendly staff board,unknown,belgium,2017-02-15,verified review last flight bangkok hanoi economy class silver member get priority lane lounge access bangkok airport friendly staff board knew u flight day doha bangkok small flight take economy class nice friendly got preferred seat good service hope stay like,Couple Leisure,economy class,,Unknown,BKK,HAN,0,1,2017
1458,9,say positive thing airline,w williams,australia,2017-02-13,verified review sydney vienna via doha returning london sydney via doha qatar airway mixed businesseconomy fare really good value sydney doha business economy onwards vienna back doha london unwittingly got travel three class say positive thing airline business class sydney doha great really nice cabin seat well thought load storage space wine selection also outstanding wine buff food bit average really good flight lounge doha excellent little hard find business felt like real treat really nice way start holiday economy europe decent enough especially coming back a380 try get seat upstairs back business small cabin toilet 810 row managed score front row heap leg room doha back sydney upgraded first business treat krug caviar went treat every aspect flight excellent really impressed qatar airway feel superior qantas emirate,,business class,A380,Unknown,LHR,SYD,1,12,2016
1459,8,service cabin crew brilliant,usman gul mohammed,unknown,2017-02-13,verified review medina istanbul via doha flight overbooked medina got airport told 3 6 passenger could board flight layover doha day connection time wasnt issue check staff told u came late check argued doesnt mean check 3 passenger cant check 3 came time told u truth flight overbooked 20 minute said next 3 flight fully booked 3 passenger boarded flight 3 including stayed madina airport qatar airway manager calm helpful put u next flight 4 hour gave u free lounge access gave u compensation bought ticket flight medina doha pleasant food nice atmosphere calm good flight entertainment second flight istanbul even better choice food inflight entertainment wifi onboard working well overall service cabin crew brilliant would definitely recommend qatar airway,Family Leisure,economy class,,Unknown,MED,IST,1,12,2016
1460,8,staff excellent genuine,w fiischer,unknown,2017-02-12,verified review bangkok doha 09 feb 2017 economy class seat 026d airbus a380 flight attendant staff excellent genuine onboard a380 comfortable seat satisfactory legroom 32 inch generous width 185 inch frequent flyer seated upper desk usually may assigned favorite seat number ask overall flying a380 qr excellent experience hope qatar airway keep generous seat width 185 a380 shift 17 width seat b777 10 seat abreast,,economy class,A380,Unknown,BKK,DOH,0,0,
1461,4,belief one,drew,saudi arabia,2017-02-11,verified review madrid taif via doha normally fly airline route overfly destination give layover doha good arrived 11 year old son early check madrid much still checking early flight doha qr 150 152 checked early superb service check staff male boarding supervisor came destroyed 8 year perfect customer satisfaction minute informed welcome use silver lounge pas 11 year old son minor cost incurred qatar airway despite registered minor family member would able use facility madrid cost qatar airway much money pay service family member minor confidently called previous female supervisor qatar airway proud employee courteous professional demeanor manner promptly overruled decision issued 11 year old minor accompanying passenger sit accompanying passenger iberia vip lounge terminal 4 flown airline qatar airway last 78 year occasionally overflying destination long layover one nicest airport world longer case matter course choice become burden inconvenience loyalty customer something happened overall picture flight ok night flight nothing special fasten seat belt sign illuminated duration meal service collection tray turbulence look forward returning best standard achievable next flight numerical assessment reflects belief one people individual bad day professional people rectifying issue much deliberation hence still recommended doha taif perfect always except bought qatar airway ticket found al maha badged aircraft internally ife staff commended leg,Family Leisure,economy class,BOEING 787,Unknown,MAD,TIF,1,2,2017
1462,10,attentive flight crew,drew,saudi arabia,2017-02-11,unknown,Family Leisure,economy class,A320,Unknown,TIF,MAD,1,1,2017
1462,10,attentive flight crew,drew,saudi arabia,2017-02-11,unknown,Family Leisure,economy class,BOEING 787,Unknown,TIF,MAD,1,1,2017
