,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
22,0,lived reputation,unknown,iceland,2024-01-13,copenhagen doha business class boeing 7879 qatar airway lived reputation finest business class product 7879 seat older type qsuite comfortable nevertheless onboard service flawless qatar serf meal demand business class one point criticism food served could attention quality care preparation wifi worked well throughout flight relaxing comfortable flight,Couple Leisure,business class,BOEING 787-9,True,CPH,DOH,0,0,
23,1,received average,unknown,united kingdom,2024-01-12,flight staff attentive requested mango juice part lunch never arrived attendant never came offer snack drink paid 1200 economy ticket received average service staff responsibility attend every customer flight failed badly,Solo Leisure,economy class,,True,NAN,NAN,0,1,2024
24,8,flight doha good,f carsen,united states,2024-01-12,flight doha good qatar ground crew sent message arrive airport 4 hour departure possible delay due construction arrived airport instructed one check counter counter opened 3 hour departure usual asked qatar agent arrive 4 hour departure didnt know opened counter 3 hour departure scheduled requested wheel chair 1 passenger booked ticket go back agent order wheelchair waited designated spot one came went security lounge promptly got u wheelchair get gate,,business class,A350,True,DFW,DOH,0,1,2024
25,0,found cabin crew professional,unknown,australia,2024-01-11,found cabin crew professional courteous proactive without doubt clearly enjoyed job meal served enjoyable well presented flight 7 13 hour soon passed without problem well worth,Solo Leisure,nan,,True,MAN,ADL,1,1,2024
26,8,extraordinary efficiency professionality,unknown,greece,2024-01-11,booked confirmed ticket india 9 month date departure athdoh dohccu point close departure date received email qatar informing u flight cancelled either ask refund reschedule already booked program domestic flight allow u cancel rebook new flight polite qatar staff assisted u phone reschedule adding extra flight 67 hr additional traveling time outgoing flight athsawdohccu waiting time doha connection 50 min leg outgoing returning trip upon arrival doh lengthy bus ride plane terminal almost 1520 min followed hurried security check sprint gate catch next flight boarded last realize initially booked prepaid seat messed issue smoothly quickly resolved polite mindful cabin manager qr 203 dec 17th case mixed feeling eventful qatar booking experience surpassed positive impression cabin crew extraordinary efficiency professionality qatar accolade go hard working cabin crew also wish highlight better passenger experience a350 offer compared one b787 felt cramped,Couple Leisure,economy class,A350,True,ATH,CCU,1,0,
26,8,extraordinary efficiency professionality,unknown,greece,2024-01-11,booked confirmed ticket india 9 month date departure athdoh dohccu point close departure date received email qatar informing u flight cancelled either ask refund reschedule already booked program domestic flight allow u cancel rebook new flight polite qatar staff assisted u phone reschedule adding extra flight 67 hr additional traveling time outgoing flight athsawdohccu waiting time doha connection 50 min leg outgoing returning trip upon arrival doh lengthy bus ride plane terminal almost 1520 min followed hurried security check sprint gate catch next flight boarded last realize initially booked prepaid seat messed issue smoothly quickly resolved polite mindful cabin manager qr 203 dec 17th case mixed feeling eventful qatar booking experience surpassed positive impression cabin crew extraordinary efficiency professionality qatar accolade go hard working cabin crew also wish highlight better passenger experience a350 offer compared one b787 felt cramped,Couple Leisure,economy class,BOEING 787,True,ATH,CCU,1,0,
27,10,staff absolutely wonderful,line maria flege,denmark,2024-01-09,flew ho chi minh friday 5th january 2024 panic attack due fit claustrophobia never tried one worst thing ever tried staff absolutely wonderful hope message reach staff somehow really want thank hereby thank much kindness understanding,Couple Leisure,economy class,,True,NAN,NAN,0,1,2024
28,5,great catering service,unknown,germany,2024-01-07,check dus airport well organized efficient dus third party lounge nothing shout departure delayed hour due late arrival incoming aircraft prior information given first info given 10 min proposed boarding time sm qatar received plane already boarding rather chaotic despite 8 gate agent part boarding issue could contributed increasingly impatient crowd flight good great catering service usual remote stand arrival doha longish bus transfer service lounge good departure gate next flight crowded also chaotic unorganized poor sole agent door endure lot shouting pushing zone system simply work doha airport flight full unremarkable average catering service wifi didnt work throughout entire flight arrival bkk also remote stand long bus transfer,Business,business class,,True,DUS,BKK,1,12,2023
29,1,attempt obtain partial refund ignored,francesco leonardi,switzerland,2024-01-05,unknown,Solo Leisure,business class,BOEING 777-300,True,DOH,BKK,0,12,2023
30,9,crew enthusiastic helpful,michael schade,germany,2023-12-20,well coordinated airbridge rarity doha airport nowadays boarding newish b789 comfortable seat large responsive ife screen decent food cabin crew enthusiastic helpful flight arrived ahead time,Solo Leisure,nan,,Unknown,DOH,FRA,0,12,2023
31,0,seat narrow uncomfortable,unknown,belgium,2023-12-20,flight time remote stand bus transfer bkk something seen bkk many year full service carrier doha b773 rather old cold draft exit door touch screen well responding food ok seat narrow uncomfortable average flight,,nan,BOEING 773,True,BKK,DOH,0,12,2023
32,9,service excellent,lyn smithy,australia,2023-12-19,seat top level a380 two seat together service excellent food beverage also good good flight would fly qatar,Couple Leisure,economy class,A380,False,DOH,SYD,0,11,2023
33,0,would expect part refund,unknown,united kingdom,2023-12-18,inflight entertainment system work seat 8h flight flagged flight attendant attempted fix avail entertainment raised customer service upon return home opinion receive service paid would expect part refund however met half apology fabrication told according report offered alternative seat refused,Solo Leisure,economy class,,Unknown,SGN,MAN,1,12,2023
34,10,overall excellent experience,unknown,kuwait,2023-12-17,unknown,Solo Leisure,economy class,BOEING 787,True,KWI,WAW,1,12,2023
35,0,unknown,mohamed alkowari,bahrain,2023-12-13,literally one time pleasant flight food top notch even economy portion super delicious served restaurant level thai vietnamese curry dinner lunch respectively infotainment advanced easily use phone control wifi also fast reliable definitely choosing qatar airway goto option japan flight,Solo Leisure,economy class,,True,DXB,TYO,1,11,2023
36,10,level service second none,dev raghav handa,united arab emirates,2023-12-11,qatar airway provides providing level service second none aircraft airport cabin crew ground staff anyone bump joy ride flown almost every country tried 150 airline wasnt difficult rate qatar im flying back dubai almost 7 hour layover doha intl seems less given past wonderful experience keep qatar,Business,business class,,False,DXB,DEL,1,11,2023
37,9,using qatar airway future,craig cutts,united kingdom,2023-12-09,pretty poor experience year using preferred airline singapore airline decided try qatar 6 year check heathrow t4 quick polite boarding process board found a380 upper deck good economy service crew good food transfer doha quick easy boarding kul done well seating felt roomy comfortable even 343 seating 777 arrived kl little early good flight returning check polite unfortunately klia dreadful airport possibly worst asia poor uninterested staff along poor facility apart despite 2 hour delay flight doha pretty good quick transfer doha fine final flight london nice bag recovered quickly using qatar airway future,Couple Leisure,economy class,A380,True,LON,KUL,1,0,
37,9,using qatar airway future,craig cutts,united kingdom,2023-12-09,pretty poor experience year using preferred airline singapore airline decided try qatar 6 year check heathrow t4 quick polite boarding process board found a380 upper deck good economy service crew good food transfer doha quick easy boarding kul done well seating felt roomy comfortable even 343 seating 777 arrived kl little early good flight returning check polite unfortunately klia dreadful airport possibly worst asia poor uninterested staff along poor facility apart despite 2 hour delay flight doha pretty good quick transfer doha fine final flight london nice bag recovered quickly using qatar airway future,Couple Leisure,economy class,777-300ER,True,LON,KUL,1,0,
